step,wall_time,episode_return,ma_return,qos_prob,qos_lambda,sum_rate_mean,rate_common_mean,qos_violation_l1_mean,qos_violation_l2_mean,h_eff_abs_mean_mean,h_eff_abs_R_mean,h_eff_abs_T_mean,phase_entropy_R_mean,phase_entropy_T_mean,phase_var_R_mean,phase_var_T_mean,beta_r_mean_mean,common_power_frac_mean,total_power_W_mean,reward_sr_mean,reward_qos_mean,reward_pwr_mean,qos_satisfied_mean,reward_mean,act_mean,act_std,act_abs_max,act_sat_frac,policy_loss,value_loss,entropy,kl,clipfrac,early_stopped,eval_return_mean,eval_return_std,eval_sum_rate_mean,eval_sum_rate_std,eval_qos_prob,eval_qos_prob_std,eval_rate_common_mean,eval_h_eff_abs_T_mean,eval_phase_entropy_T_mean,eval_common_power_frac_mean,eval_latency_ms_mean,eval_latency_ms_std
25,1.935,2.1305951538656327,2.1624699675943235,0.18,2.1565912675438432,2.0825221346467644,0.2856779354976544,0.16840376556766423,0.02868982808166105,2.8863180344297355e-05,3.654704989964911e-05,5.811571678242094e-06,2.5190055285622854,2.5034823701217337,3.178169991999357,2.7926121217249205,0.4944982719421387,0.1797021157294512,0.9999999901652337,0.015618916009850731,-0.00600701288429557,-4.824250936508179e-11,0.18,0.042611903077312656,,,,,,,,,,,,,,,,,,,,,,
25,1.939,,,,,,,,,,,,,,,,,,,,,,,,-0.021306721295695753,0.4777043640613556,0.9198012948036194,0.00380952380952381,,,,,,,,,,,,,,,,,,
26,2.0,2.0403823862822925,2.1496296880237415,0.08,2.2212890055701586,2.1336904191552573,0.30331329924614076,0.18341144225673592,0.029885265863087925,3.2913637211731204e-05,4.174218547583779e-05,6.427992419411431e-06,2.504670081133399,2.4868428171021244,3.3203649985370536,2.668776515690406,0.509494525194168,0.18511250106617808,1.0000000031292438,0.01600267814366443,-0.006445030338856153,-7.916241884231569e-11,0.08,0.04080764772564585,,,,,,,,,,,,,,,,,,,,,,
26,2.003,,,,,,,,,,,,,,,,,,,,,,,,-0.008563273027539254,0.4627464771270752,0.9440544128417969,0.001904761904761905,,,,,,,,,,,,,,,,,,
27,2.067,1.9496623960459163,2.1405582539222774,0.06,2.2879276757372633,2.0856131134134634,0.26918751391222423,0.19111455479055106,0.0310578691917287,3.909965432478907e-05,4.980389930859381e-05,6.986919373374898e-06,2.5029454102854674,2.4951062849159857,3.0985088222704436,3.380146636292576,0.49208336710929873,0.1659485356323421,1.0000000055879354,0.01564209835060098,-0.006898850337202313,-9.248033165931702e-11,0.06,0.038993247920918336,,,,,,,,,,,,,,,,,,,,,,
27,2.071,,,,,,,,,,,,,,,,,,,,,,,,0.002001572120934725,0.4663554012775421,0.9360762596130371,0.00380952380952381,,,,,,,,,,,,,,,,,,
28,2.133,2.134363849804893,2.1347819122696827,0.12,2.3565655060093813,2.1172766558666702,0.3193155193753256,0.1687163742113064,0.028157786200209433,4.2676040228775195e-05,5.469703315683163e-05,6.613061444605873e-06,2.5012703004943613,2.5091018448602647,3.703557663980672,3.0935338375220933,0.4901338338851929,0.18562830235809089,1.0000000023469329,0.01587957491900003,-0.006442297833495195,-8.940696716308595e-11,0.12,0.042687276996097874,,,,,,,,,,,,,,,,,,,,,,
28,2.135,,,,,,,,,,,,,,,,,,,,,,,,-0.01547364741563797,0.4772462010383606,0.9509410977363586,0.005714285714285715,,,,,,,,,,,,,,,,,,
29,2.198,2.1538052986756004,2.135721852618352,0.22,2.4272624711896627,2.290518672232354,0.4302838086259602,0.16894668704832502,0.026957807721374582,4.1321864334367235e-05,5.302946261336036e-05,6.199069497387859e-06,2.5046915127326694,2.5066718923098494,3.320310552254479,3.2506295505708063,0.500728863477707,0.24919676464051008,0.9999999972991646,0.017178890041742657,-0.006352783979382469,-8.884817361831666e-11,0.22,0.04307610597351202,,,,,,,,,,,,,,,,,,,,,,
29,2.198,,,,,,,,,,,,,,,,,,,,,,,,-0.022367417253553866,0.4849760830402374,0.9365285873413086,0.00380952380952381,,,,,,,,,,,,,,,,,,
