episode_return,sum_rate,qos_satisfied,qos_lambda,h_eff_abs_T,phase_entropy_T,rate_common,common_power_frac,ma_return
0.34771858228085534,2.2880730350845577,0.08,11.288920791316817,5.062685923084384e-06,2.4530349532581046,0.3722337227509467,0.22404387859627606,0.44770198670242667
-0.210944442690307,2.453442192316368,0.16,11.627588415056323,6.560963963014463e-06,2.5245227264040286,0.4256842863030135,0.23681286945939065,0.3943723025050215
-0.29965512819005924,2.2022091862765345,0.06,11.976416067508012,5.029390000074409e-06,2.4992233979500695,0.30642274142386383,0.18826135950163006,0.3499199665532041
-1.0157324884263608,2.3050792990508207,0.0,12.335708549533253,5.7993401413478505e-06,2.525503816673587,0.33298451621729747,0.1977046013250947,0.26361537475914
-0.3689597351955048,2.265772176398262,0.06,12.705779806019251,6.839752266605744e-06,2.5135821715150204,0.32733461820921866,0.19005885630846023,0.19968022135442975
-0.28956691741818164,2.15007512225775,0.08,13.08695320019983,4.630760235680614e-06,2.4297958999464466,0.31043723411710694,0.19508009076118468,0.1737746605879354
-0.7144858761071929,2.3108231823850556,0.08,13.479561796205825,5.981067902743524e-06,2.5329129909099777,0.37914500890612823,0.21867119951173664,0.10379605267255612
-0.4319191996680924,2.268237891016109,0.16,13.883948650092,4.649439881644241e-06,2.4985366439901577,0.3951143619611063,0.2328882671147585,0.06017487737537826
-1.1415650067321086,2.170970565460422,0.0,14.300467109594761,6.410740328771757e-06,2.518827032349737,0.25730059036688013,0.16055770112201573,-0.02926116429102914
-1.327759322759694,2.29324961682865,0.06,14.729481122882603,6.428120908598551e-06,2.494550013753518,0.2977059396459188,0.17659249005839228,-0.11732312056703594
-0.9602608535371101,2.2689745235801135,0.12,15.0,5.874808796385552e-06,2.444970978726921,0.3827165509238932,0.2197899954393506,-0.20848459799651003
-1.6969674355347855,2.245683651861795,0.06,15.0,6.295618360947632e-06,2.5200438989944542,0.29226198748315707,0.1677397762797773,-0.3068145303731561
-1.1462109535593408,2.2359790582671986,0.1,15.0,5.033219847676912e-06,2.4869309097707135,0.32705855809898304,0.19793552566319705,-0.39994043898479387
-1.2639688273770002,2.195919706604877,0.08,15.0,4.317042698302425e-06,2.4910549596619247,0.2745414149568351,0.1813868653215468,-0.48889155482444185
-0.8770239672516724,2.2941230639245505,0.02,15.0,8.33229846302066e-06,2.489842107827071,0.36203514955977995,0.20406878158450126,-0.5408792648943599
-0.8159991726285563,2.3038520506943523,0.1,15.0,5.442823778259902e-06,2.502185746014102,0.38200537872495816,0.21688405457884075,-0.6105264477659882
-0.8057851360497459,2.2388816998970804,0.08,15.0,5.941578768497772e-06,2.512491556977603,0.3438506444168991,0.20120566112920643,-0.668779813844015
-1.7821588970745197,2.178829609742375,0.08,15.0,4.965251357903847e-06,2.5270536290177867,0.2539105895116956,0.1593967342749238,-0.7636351823555122
-2.350580095169361,2.2346462990342824,0.06,15.0,4.969246165873557e-06,2.5305181761893487,0.23505736608050104,0.15107753414660693,-0.8684020318687956
-1.888655590564505,2.461765575906091,0.08,15.0,6.073082552544493e-06,2.5318846939275064,0.4192549893495932,0.23577125977724792,-0.9520240231826621
-1.4155412868238153,2.5955641822650755,0.02,15.0,4.604732972388615e-06,2.5117303934610558,0.46843832772635496,0.29801216393709185,-1.0401870166378955
-1.6699695336519034,2.521912992759781,0.06,15.0,4.8358407743788705e-06,2.486036585336299,0.42234633368058005,0.25420375920832156,-1.1131382711859754
